y-m-day-hour_6_rounded,n_barcode,n_barcode_L,n_barcode_R,cumulative_per_day_n_barcode,cumulative_per_day_n_barcode_L,cumulative_per_day_n_barcode_R,work_time,work_time_L,work_time_R,CYCLE_ABORTED,CYCLE_COMPLETED,CYCLE_NOT_STARTED,CYCLE_ABORTED_L,CYCLE_COMPLETED_L,CYCLE_NOT_STARTED_L,CYCLE_ABORTED_R,CYCLE_COMPLETED_R,CYCLE_NOT_STARTED_R,cumulative_per_day_CYCLE_COMPLETED,cumulative_per_day_CYCLE_ABORTED,cumulative_per_day_CYCLE_NOT_STARTED,cumulative_per_day_CYCLE_COMPLETED_L,cumulative_per_day_CYCLE_ABORTED_L,cumulative_per_day_CYCLE_NOT_STARTED_L,cumulative_per_day_CYCLE_COMPLETED_R,cumulative_per_day_CYCLE_ABORTED_R,cumulative_per_day_CYCLE_NOT_STARTED_R
2010-10-22 00:00:00,18,3.0,15.0,18,3.0,15.0,19913.0,2756.0,19871.0,2,16,0,1.0,2.0,0.0,1.0,14.0,0.0,16,2,0,2.0,1.0,0.0,14.0,1.0,0.0
2010-10-22 06:00:00,38,19.0,19.0,56,22.0,34.0,21261.0,21213.0,21223.0,2,36,0,1.0,18.0,0.0,1.0,18.0,0.0,52,4,0,20.0,2.0,0.0,32.0,2.0,0.0
2010-10-22 12:00:00,22,11.0,11.0,78,33.0,45.0,14110.0,14110.0,13198.0,0,22,0,0.0,11.0,0.0,0.0,11.0,0.0,74,4,0,31.0,2.0,0.0,43.0,2.0,0.0
2010-10-22 18:00:00,37,19.0,18.0,115,52.0,63.0,19529.0,19529.0,19126.0,2,35,0,1.0,18.0,0.0,1.0,17.0,0.0,109,6,0,49.0,3.0,0.0,60.0,3.0,0.0
2010-11-22 06:00:00,11,8.0,3.0,11,8.0,3.0,8609.0,8078.0,3005.0,2,9,0,1.0,7.0,0.0,1.0,2.0,0.0,9,2,0,7.0,1.0,0.0,2.0,1.0,0.0
2010-11-22 12:00:00,24,5.0,19.0,35,13.0,22.0,21364.0,4611.0,20830.0,1,23,0,0.0,5.0,0.0,1.0,18.0,0.0,32,3,0,12.0,1.0,0.0,20.0,2.0,0.0
2010-11-22 18:00:00,23,3.0,20.0,58,16.0,42.0,21589.0,3457.0,21589.0,2,21,0,1.0,2.0,0.0,1.0,19.0,0.0,53,5,0,14.0,2.0,0.0,39.0,3.0,0.0
2010-12-22 00:00:00,24,12.0,12.0,24,12.0,12.0,19711.0,19688.0,19617.0,2,22,0,1.0,11.0,0.0,1.0,11.0,0.0,22,2,0,11.0,1.0,0.0,11.0,1.0,0.0
2010-12-22 06:00:00,12,6.0,6.0,36,18.0,18.0,7280.0,7251.0,7223.0,0,12,0,0.0,6.0,0.0,0.0,6.0,0.0,34,2,0,17.0,1.0,0.0,17.0,1.0,0.0
2010-12-22 12:00:00,11,6.0,5.0,47,24.0,23.0,7451.0,7215.0,6016.0,1,10,0,1.0,5.0,0.0,0.0,5.0,0.0,44,3,0,22.0,2.0,0.0,22.0,1.0,0.0
2010-12-22 18:00:00,37,19.0,18.0,84,43.0,41.0,20909.0,20838.0,20367.0,2,35,0,1.0,18.0,0.0,1.0,17.0,0.0,79,5,0,40.0,3.0,0.0,39.0,2.0,0.0
2011-10-22 00:00:00,24,17.0,7.0,24,17.0,7.0,20842.0,20608.0,20698.0,2,22,0,1.0,16.0,0.0,1.0,6.0,0.0,22,2,0,16.0,1.0,0.0,6.0,1.0,0.0
2011-10-22 06:00:00,42,21.0,21.0,66,38.0,28.0,20732.0,20584.0,20732.0,2,40,0,1.0,20.0,0.0,1.0,20.0,0.0,62,4,0,36.0,2.0,0.0,26.0,2.0,0.0
2011-10-22 12:00:00,42,21.0,21.0,108,59.0,49.0,20973.0,20587.0,20961.0,3,39,0,1.0,20.0,0.0,2.0,19.0,0.0,101,7,0,56.0,3.0,0.0,45.0,4.0,0.0
2011-10-22 18:00:00,18,9.0,9.0,126,68.0,58.0,8967.0,8699.0,8583.0,0,18,0,0.0,9.0,0.0,0.0,9.0,0.0,119,7,0,65.0,3.0,0.0,54.0,4.0,0.0
2011-11-22 00:00:00,22,3.0,19.0,22,3.0,19.0,20602.0,2362.0,20602.0,2,20,0,1.0,2.0,0.0,1.0,18.0,0.0,20,2,0,2.0,1.0,0.0,18.0,1.0,0.0
2011-11-22 06:00:00,39,20.0,19.0,61,23.0,38.0,21464.0,21275.0,20637.0,2,37,0,1.0,19.0,0.0,1.0,18.0,0.0,57,4,0,21.0,2.0,0.0,36.0,2.0,0.0
2011-11-22 12:00:00,38,19.0,19.0,99,42.0,57.0,21584.0,20240.0,21584.0,2,36,0,1.0,18.0,0.0,1.0,18.0,0.0,93,6,0,39.0,3.0,0.0,54.0,3.0,0.0
2011-11-22 18:00:00,40,20.0,20.0,139,62.0,77.0,21594.0,20463.0,21594.0,2,38,0,1.0,19.0,0.0,1.0,19.0,0.0,131,8,0,58.0,4.0,0.0,73.0,4.0,0.0
2011-12-22 00:00:00,36,18.0,18.0,36,18.0,18.0,21260.0,21260.0,20202.0,3,33,0,2.0,16.0,0.0,1.0,17.0,0.0,33,3,0,16.0,2.0,0.0,17.0,1.0,0.0
2011-12-22 06:00:00,37,19.0,18.0,73,37.0,36.0,21580.0,20803.0,21512.0,3,34,0,1.0,18.0,0.0,2.0,16.0,0.0,67,6,0,34.0,3.0,0.0,33.0,3.0,0.0
2011-12-22 12:00:00,30,16.0,14.0,103,53.0,50.0,21118.0,20716.0,21118.0,2,28,0,1.0,15.0,0.0,1.0,13.0,0.0,95,8,0,49.0,4.0,0.0,46.0,4.0,0.0
2011-12-22 18:00:00,27,14.0,13.0,130,67.0,63.0,20995.0,15200.0,20765.0,0,27,0,0.0,14.0,0.0,0.0,13.0,0.0,122,8,0,63.0,4.0,0.0,59.0,4.0,0.0
2012-10-22 00:00:00,22,12.0,10.0,22,12.0,10.0,12730.0,11963.0,12730.0,1,21,0,1.0,11.0,0.0,0.0,10.0,0.0,21,1,0,11.0,1.0,0.0,10.0,0.0,0.0
2012-10-22 06:00:00,34,21.0,13.0,56,33.0,23.0,20808.0,20576.0,19616.0,2,32,0,1.0,20.0,0.0,1.0,12.0,0.0,53,3,0,31.0,2.0,0.0,22.0,1.0,0.0
2012-10-22 12:00:00,43,22.0,21.0,99,55.0,44.0,21591.0,21591.0,20609.0,2,41,0,1.0,21.0,0.0,1.0,20.0,0.0,94,5,0,52.0,3.0,0.0,42.0,2.0,0.0
2012-10-22 18:00:00,40,20.0,20.0,139,75.0,64.0,21536.0,21536.0,20423.0,0,40,0,0.0,20.0,0.0,0.0,20.0,0.0,134,5,0,72.0,3.0,0.0,62.0,2.0,0.0
2012-11-22 00:00:00,28,19.0,9.0,28,19.0,9.0,20959.0,20680.0,20836.0,2,26,0,1.0,18.0,0.0,1.0,8.0,0.0,26,2,0,18.0,1.0,0.0,8.0,1.0,0.0
2012-11-22 06:00:00,25,12.0,13.0,53,31.0,22.0,20448.0,20317.0,20408.0,2,23,0,1.0,11.0,0.0,1.0,12.0,0.0,49,4,0,29.0,2.0,0.0,20.0,2.0,0.0
2012-11-22 12:00:00,41,20.0,21.0,94,51.0,43.0,21572.0,21307.0,21572.0,2,39,0,1.0,19.0,0.0,1.0,20.0,0.0,88,6,0,48.0,3.0,0.0,40.0,3.0,0.0
2012-11-22 18:00:00,39,20.0,19.0,133,71.0,62.0,21598.0,20562.0,21598.0,2,37,0,1.0,19.0,0.0,1.0,18.0,0.0,125,8,0,67.0,4.0,0.0,58.0,4.0,0.0
2012-12-22 00:00:00,10,3.0,7.0,10,3.0,7.0,19996.0,3541.0,16390.0,1,9,0,0.0,3.0,0.0,1.0,6.0,0.0,9,1,0,3.0,0.0,0.0,6.0,1.0,0.0
2012-12-22 06:00:00,23,4.0,19.0,33,7.0,26.0,21025.0,4225.0,20750.0,2,21,0,1.0,3.0,0.0,1.0,18.0,0.0,30,3,0,6.0,1.0,0.0,24.0,2.0,0.0
2012-12-22 12:00:00,36,18.0,18.0,69,25.0,44.0,21034.0,20765.0,21034.0,2,34,0,1.0,17.0,0.0,1.0,17.0,0.0,64,5,0,23.0,2.0,0.0,41.0,3.0,0.0
2012-12-22 18:00:00,24,12.0,12.0,93,37.0,56.0,16633.0,16633.0,16395.0,0,24,0,0.0,12.0,0.0,0.0,12.0,0.0,88,5,0,35.0,2.0,0.0,53.0,3.0,0.0
2013-10-22 00:00:00,38,20.0,18.0,38,20.0,18.0,21328.0,20712.0,18309.0,2,36,0,1.0,19.0,0.0,1.0,17.0,0.0,36,2,0,19.0,1.0,0.0,17.0,1.0,0.0
2013-10-22 06:00:00,42,21.0,21.0,80,41.0,39.0,21172.0,20840.0,20564.0,2,40,0,1.0,20.0,0.0,1.0,20.0,0.0,76,4,0,39.0,2.0,0.0,37.0,2.0,0.0
2013-10-22 12:00:00,36,15.0,21.0,116,56.0,60.0,21163.0,17699.0,20828.0,1,35,0,0.0,15.0,0.0,1.0,20.0,0.0,111,5,0,54.0,2.0,0.0,57.0,3.0,0.0
2013-10-22 18:00:00,24,3.0,21.0,140,59.0,81.0,20661.0,2267.0,20661.0,2,22,0,1.0,2.0,0.0,1.0,20.0,0.0,133,7,0,56.0,3.0,0.0,77.0,4.0,0.0
2013-11-22 00:00:00,18,9.0,9.0,18,9.0,9.0,20936.0,20228.0,20736.0,2,16,0,1.0,8.0,0.0,1.0,8.0,0.0,16,2,0,8.0,1.0,0.0,8.0,1.0,0.0
2013-11-22 06:00:00,40,20.0,20.0,58,29.0,29.0,20766.0,20564.0,20586.0,2,38,0,1.0,19.0,0.0,1.0,19.0,0.0,54,4,0,27.0,2.0,0.0,27.0,2.0,0.0
2013-11-22 12:00:00,40,20.0,20.0,98,49.0,49.0,20894.0,20712.0,20852.0,2,38,0,1.0,19.0,0.0,1.0,19.0,0.0,92,6,0,46.0,3.0,0.0,46.0,3.0,0.0
2013-11-22 18:00:00,40,20.0,20.0,138,69.0,69.0,20692.0,20662.0,20649.0,2,38,0,1.0,19.0,0.0,1.0,19.0,0.0,130,8,0,65.0,4.0,0.0,65.0,4.0,0.0
2013-12-22 00:00:00,36,19.0,17.0,36,19.0,17.0,20694.0,20617.0,20570.0,2,34,0,1.0,18.0,0.0,1.0,16.0,0.0,34,2,0,18.0,1.0,0.0,16.0,1.0,0.0
2013-12-22 06:00:00,39,20.0,19.0,75,39.0,36.0,21225.0,21225.0,20699.0,2,37,0,1.0,19.0,0.0,1.0,18.0,0.0,71,4,0,37.0,2.0,0.0,34.0,2.0,0.0
2013-12-22 12:00:00,36,17.0,19.0,111,56.0,55.0,21309.0,20882.0,21309.0,2,34,0,1.0,16.0,0.0,1.0,18.0,0.0,105,6,0,53.0,3.0,0.0,52.0,3.0,0.0
2013-12-22 18:00:00,6,3.0,3.0,117,59.0,58.0,6344.0,2342.0,6344.0,0,6,0,0.0,3.0,0.0,0.0,3.0,0.0,111,6,0,56.0,3.0,0.0,55.0,3.0,0.0
2014-10-22 00:00:00,28,8.0,20.0,28,8.0,20.0,21087.0,21016.0,20544.0,3,25,0,2.0,6.0,0.0,1.0,19.0,0.0,25,3,0,6.0,2.0,0.0,19.0,1.0,0.0
2014-10-22 06:00:00,42,21.0,21.0,70,29.0,41.0,20814.0,20814.0,20491.0,2,40,0,1.0,20.0,0.0,1.0,20.0,0.0,65,5,0,26.0,3.0,0.0,39.0,2.0,0.0
2014-10-22 12:00:00,42,21.0,21.0,112,50.0,62.0,20872.0,20612.0,20423.0,2,40,0,1.0,20.0,0.0,1.0,20.0,0.0,105,7,0,46.0,4.0,0.0,59.0,3.0,0.0
2014-10-22 18:00:00,40,19.0,21.0,152,69.0,83.0,20653.0,20203.0,20612.0,3,37,0,2.0,17.0,0.0,1.0,20.0,0.0,142,10,0,63.0,6.0,0.0,79.0,4.0,0.0
2014-11-22 00:00:00,33,20.0,13.0,33,20.0,13.0,20720.0,20680.0,19360.0,1,32,0,1.0,19.0,0.0,0.0,13.0,0.0,32,1,0,19.0,1.0,0.0,13.0,0.0,0.0
2014-11-22 06:00:00,19,16.0,3.0,52,36.0,16.0,17802.0,17802.0,3559.0,1,18,0,0.0,16.0,0.0,1.0,2.0,0.0,50,2,0,35.0,1.0,0.0,15.0,1.0,0.0
2014-11-22 12:00:00,21,4.0,17.0,73,40.0,33.0,21090.0,21090.0,20742.0,2,19,0,1.0,3.0,0.0,1.0,16.0,0.0,69,4,0,38.0,2.0,0.0,31.0,2.0,0.0
2014-11-22 18:00:00,38,18.0,20.0,111,58.0,53.0,20759.0,20436.0,20601.0,1,37,0,0.0,18.0,0.0,1.0,19.0,0.0,106,5,0,56.0,2.0,0.0,50.0,3.0,0.0
