y-m-day-hour_6_rounded,n_barcode,n_barcode_L,n_barcode_R,cumulative_per_day_n_barcode,cumulative_per_day_n_barcode_L,cumulative_per_day_n_barcode_R,work_time,work_time_L,work_time_R,CYCLE_ABORTED,CYCLE_COMPLETED,CYCLE_NOT_STARTED,CYCLE_ABORTED_L,CYCLE_COMPLETED_L,CYCLE_NOT_STARTED_L,CYCLE_ABORTED_R,CYCLE_COMPLETED_R,CYCLE_NOT_STARTED_R,cumulative_per_day_CYCLE_COMPLETED,cumulative_per_day_CYCLE_ABORTED,cumulative_per_day_CYCLE_NOT_STARTED,cumulative_per_day_CYCLE_COMPLETED_L,cumulative_per_day_CYCLE_ABORTED_L,cumulative_per_day_CYCLE_NOT_STARTED_L,cumulative_per_day_CYCLE_COMPLETED_R,cumulative_per_day_CYCLE_ABORTED_R,cumulative_per_day_CYCLE_NOT_STARTED_R
2010-11-22 00:00:00,39,20.0,20.0,39,20.0,20.0,20506.0,20506.0,20506.0,4,36,0,2.0,18.0,0.0,2.0,18.0,0.0,36,4,0,18.0,2.0,0.0,18.0,2.0,0.0
2010-11-22 06:00:00,40,20.0,20.0,79,40.0,40.0,20308.0,20308.0,20308.0,7,32,1,2.0,18.0,0.0,5.0,14.0,1.0,68,11,1,36.0,4.0,0.0,32.0,7.0,1.0
2010-11-22 12:00:00,39,20.0,19.0,118,60.0,59.0,21333.0,21333.0,21333.0,10,29,0,5.0,15.0,0.0,5.0,14.0,0.0,97,21,1,51.0,9.0,0.0,46.0,12.0,1.0
2010-11-22 18:00:00,38,19.0,19.0,156,79.0,78.0,20521.0,20521.0,20518.0,7,31,0,1.0,18.0,0.0,6.0,13.0,0.0,128,28,1,69.0,10.0,0.0,59.0,18.0,1.0
2010-12-22 00:00:00,37,19.0,18.0,37,19.0,18.0,21596.0,21596.0,20042.0,9,27,1,4.0,14.0,1.0,5.0,13.0,0.0,27,9,1,14.0,4.0,1.0,13.0,5.0,0.0
2010-12-22 06:00:00,38,19.0,19.0,75,38.0,37.0,20187.0,20187.0,20187.0,9,28,1,4.0,14.0,1.0,5.0,14.0,0.0,55,18,2,28.0,8.0,2.0,27.0,10.0,0.0
2010-12-22 12:00:00,34,17.0,17.0,109,55.0,54.0,21124.0,21124.0,21122.0,7,26,1,4.0,12.0,1.0,3.0,14.0,0.0,81,25,3,40.0,12.0,3.0,41.0,13.0,0.0
2010-12-22 18:00:00,40,20.0,20.0,149,75.0,74.0,20975.0,20974.0,20975.0,11,29,0,4.0,16.0,0.0,7.0,13.0,0.0,110,36,3,56.0,16.0,3.0,54.0,20.0,0.0
2011-11-22 00:00:00,36,18.0,18.0,36,18.0,18.0,21444.0,21441.0,21444.0,7,29,0,2.0,16.0,0.0,5.0,13.0,0.0,29,7,0,16.0,2.0,0.0,13.0,5.0,0.0
2011-11-22 06:00:00,40,20.0,20.0,76,38.0,38.0,20691.0,20691.0,20691.0,7,33,0,4.0,16.0,0.0,3.0,17.0,0.0,62,14,0,32.0,6.0,0.0,30.0,8.0,0.0
