Unnamed: 0,ddc_barcode,ddc_ipcode,ddc_mch_code,ddc_mch_side,ddc_ev_subcode,ddc_ev_timestamp,c_machine,month,y-m-day
619749,9440069894,29140,C508,R,OP_SQUEEZE_OFF_START,2022-11-11 23:05:24,True,11,22-11-11
619750,9440069894,29140,C508,R,CURING_ON_STOP,2022-11-11 23:05:24,True,11,22-11-11
619751,9440069894,29140,C508,R,CURING_OFF_STOP,2022-11-11 23:05:24,True,11,22-11-11
619752,9440069894,29140,C508,R,CURING_OFF_START,2022-11-11 23:05:24,True,11,22-11-11
619753,9440069893,29140,C508,L,OP_SQUEEZE_OFF_START,2022-11-11 23:05:24,True,11,22-11-11
619754,9440069893,29140,C508,L,CURING_ON_STOP,2022-11-11 23:05:24,True,11,22-11-11
619755,9440069893,29140,C508,L,CURING_OFF_STOP,2022-11-11 23:05:24,True,11,22-11-11
619756,9440069893,29140,C508,L,CURING_OFF_START,2022-11-11 23:05:24,True,11,22-11-11
619813,9440069894,29140,C508,R,OP_SQUEEZE_OFF_STOP,2022-11-11 23:05:30,True,11,22-11-11
619814,9440069894,29140,C508,R,OP_UNLOCK_PRESS_START,2022-11-11 23:05:30,True,11,22-11-11
619815,9440069893,29140,C508,L,OP_SQUEEZE_OFF_STOP,2022-11-11 23:05:30,True,11,22-11-11
619816,9440069893,29140,C508,L,OP_UNLOCK_PRESS_START,2022-11-11 23:05:30,True,11,22-11-11
619831,9440069894,29140,C508,R,OP_UNLOCK_PRESS_STOP,2022-11-11 23:05:31,True,11,22-11-11
619832,9440069894,29140,C508,R,OP_PRESS_MOVEMENT_UP_START,2022-11-11 23:05:31,True,11,22-11-11
619840,9440069893,29140,C508,L,OP_UNLOCK_PRESS_STOP,2022-11-11 23:05:32,True,11,22-11-11
619841,9440069893,29140,C508,L,OP_PRESS_MOVEMENT_UP_START,2022-11-11 23:05:32,True,11,22-11-11
619850,9440069894,29140,C508,R,OP_PRESS_MOVEMENT_UP_STOP,2022-11-11 23:05:33,True,11,22-11-11
619851,9440069894,29140,C508,R,OP_PRESS_STOP_PAUSE_1_START,2022-11-11 23:05:33,True,11,22-11-11
619852,9440069893,29140,C508,L,OP_PRESS_MOVEMENT_UP_STOP,2022-11-11 23:05:33,True,11,22-11-11
619853,9440069893,29140,C508,L,OP_PRESS_STOP_PAUSE_1_START,2022-11-11 23:05:33,True,11,22-11-11
619903,9440069894,29140,C508,R,OP_PRESS_STOP_PAUSE_1_STOP,2022-11-11 23:05:37,True,11,22-11-11
619904,9440069894,29140,C508,R,OP_PRESS_MOVEMENT_UP_1_START,2022-11-11 23:05:37,True,11,22-11-11
619905,9440069893,29140,C508,L,OP_PRESS_STOP_PAUSE_1_STOP,2022-11-11 23:05:37,True,11,22-11-11
619906,9440069893,29140,C508,L,OP_PRESS_MOVEMENT_UP_1_START,2022-11-11 23:05:37,True,11,22-11-11
619938,9440069894,29140,C508,R,OP_PRESS_MOVEMENT_UP_1_STOP,2022-11-11 23:05:40,True,11,22-11-11
619939,9440069894,29140,C508,R,OP_PRESS_STOP_PAUSE_2_START,2022-11-11 23:05:40,True,11,22-11-11
619940,9440069893,29140,C508,L,OP_PRESS_MOVEMENT_UP_1_STOP,2022-11-11 23:05:40,True,11,22-11-11
619941,9440069893,29140,C508,L,OP_PRESS_STOP_PAUSE_2_START,2022-11-11 23:05:40,True,11,22-11-11
619977,9440069894,29140,C508,R,OP_PRESS_STOP_PAUSE_2_STOP,2022-11-11 23:05:44,True,11,22-11-11
619978,9440069894,29140,C508,R,OP_PRESS_MOVEMENT_UP_2_START,2022-11-11 23:05:44,True,11,22-11-11
619979,9440069893,29140,C508,L,OP_PRESS_STOP_PAUSE_2_STOP,2022-11-11 23:05:44,True,11,22-11-11
619980,9440069893,29140,C508,L,OP_PRESS_MOVEMENT_UP_2_START,2022-11-11 23:05:44,True,11,22-11-11
