Unnamed: 0,ddc_barcode,ddc_ipcode,ddc_mch_code,ddc_mch_side,ddc_ev_subcode,ddc_ev_timestamp,c_machine,month,y-m-day
479,9436775661,25734,C209,L,LO_LOADER_IN_PRESS,2021-12-17 22:08:34,True,12,21-12-17
480,9436775678,25734,C209,R,LO_LOADER_IN_PRESS,2021-12-17 22:08:34,True,12,21-12-17
481,9436775661,25734,C209,L,LO_BLADDER_PRESHAPING,2021-12-17 22:08:37,True,12,21-12-17
482,9436775678,25734,C209,R,LO_BLADDER_PRESHAPING,2021-12-17 22:08:37,True,12,21-12-17
487,9436775661,25734,C209,L,LO_BLADDER_VACUUM,2021-12-17 22:08:45,True,12,21-12-17
488,9436775678,25734,C209,R,LO_BLADDER_VACUUM,2021-12-17 22:08:45,True,12,21-12-17
489,9436775661,25734,C209,L,LO_LOADER_DOWN,2021-12-17 22:08:48,True,12,21-12-17
490,9436775678,25734,C209,R,LO_LOADER_DOWN,2021-12-17 22:08:48,True,12,21-12-17
497,9436775661,25734,C209,L,LO_TCR_DOWN,2021-12-17 22:08:57,True,12,21-12-17
498,9436775678,25734,C209,R,LO_TCR_DOWN,2021-12-17 22:08:57,True,12,21-12-17
501,9436775661,25734,C209,L,LO_PRESHAPING,2021-12-17 22:09:02,True,12,21-12-17
502,9436775678,25734,C209,R,LO_PRESHAPING,2021-12-17 22:09:02,True,12,21-12-17
529,9436775661,25734,C209,L,LO_LOADER_RELEASE_TIRE,2021-12-17 22:09:41,True,12,21-12-17
530,9436775661,25734,C209,L,LO_LOADER_UP,2021-12-17 22:09:41,True,12,21-12-17
531,9436775678,25734,C209,R,LO_LOADER_RELEASE_TIRE,2021-12-17 22:09:41,True,12,21-12-17
532,9436775678,25734,C209,R,LO_LOADER_UP,2021-12-17 22:09:41,True,12,21-12-17
533,9436775661,25734,C209,L,LO_LOADER_OUT,2021-12-17 22:09:45,True,12,21-12-17
534,9436775678,25734,C209,R,LO_LOADER_OUT,2021-12-17 22:09:45,True,12,21-12-17
537,9436775661,25734,C209,L,CL_UNLOCK_PRESS,2021-12-17 22:09:48,True,12,21-12-17
542,9436775678,25734,C209,R,CL_UNLOCK_PRESS,2021-12-17 22:09:51,True,12,21-12-17
547,9436775661,25734,C209,L,CL_PRESS_DOWN,2021-12-17 22:09:53,True,12,21-12-17
548,9436775678,25734,C209,R,CL_PRESS_DOWN,2021-12-17 22:09:53,True,12,21-12-17
553,9436775661,25734,C209,L,CL_STOP_PAUSE,2021-12-17 22:09:58,True,12,21-12-17
554,9436775678,25734,C209,R,CL_PRESS_DOWN_2,2021-12-17 22:09:58,True,12,21-12-17
555,9436775678,25734,C209,R,CL_STOP_PAUSE,2021-12-17 22:09:58,True,12,21-12-17
558,9436775661,25734,C209,L,CL_PRESS_DOWN_2,2021-12-17 22:09:59,True,12,21-12-17
559,9436775661,25734,C209,L,CL_STOP_PAUSE_2,2021-12-17 22:09:59,True,12,21-12-17
560,9436775678,25734,C209,R,CL_STOP_PAUSE_2,2021-12-17 22:09:59,True,12,21-12-17
575,9436775661,25734,C209,L,CL_PRESS_DOWN_3,2021-12-17 22:10:09,True,12,21-12-17
576,9436775678,25734,C209,R,CL_PRESS_DOWN_3,2021-12-17 22:10:09,True,12,21-12-17
589,9436775661,25734,C209,L,CL_PRESS_LOCK,2021-12-17 22:10:21,True,12,21-12-17
592,9436775661,25734,C209,L,CL_SQUEEZE_ON,2021-12-17 22:10:22,True,12,21-12-17
593,9436775678,25734,C209,R,CL_PRESS_LOCK,2021-12-17 22:10:25,True,12,21-12-17
594,9436775678,25734,C209,R,CL_SQUEEZE_ON,2021-12-17 22:10:26,True,12,21-12-17
621,9436775661,25734,C209,L,CURING_ON,2021-12-17 22:10:35,True,12,21-12-17
622,9436775678,25734,C209,R,CURING_ON,2021-12-17 22:10:35,True,12,21-12-17
1472,9436775661,25734,C209,L,CURING_OFF,2021-12-17 22:25:04,True,12,21-12-17
1473,9436775678,25734,C209,R,CURING_OFF,2021-12-17 22:25:04,True,12,21-12-17
1478,9436775661,25734,C209,L,OP_SQUEEZE_OFF,2021-12-17 22:25:07,True,12,21-12-17
1479,9436775678,25734,C209,R,OP_SQUEEZE_OFF,2021-12-17 22:25:07,True,12,21-12-17
1482,9436775661,25734,C209,L,OP_UNLOCK_PRESS,2021-12-17 22:25:13,True,12,21-12-17
1483,9436775678,25734,C209,R,OP_UNLOCK_PRESS,2021-12-17 22:25:13,True,12,21-12-17
1485,9436775661,25734,C209,L,OP_PRESS_MOVEMENT_UP,2021-12-17 22:25:15,True,12,21-12-17
1486,9436775678,25734,C209,R,OP_PRESS_MOVEMENT_UP,2021-12-17 22:25:15,True,12,21-12-17
1487,9436775661,25734,C209,L,OP_PRESS_STOP_PAUSE_1,2021-12-17 22:25:16,True,12,21-12-17
1488,9436775678,25734,C209,R,OP_PRESS_STOP_PAUSE_1,2021-12-17 22:25:16,True,12,21-12-17
1489,9436775661,25734,C209,L,OP_PRESS_MOVEMENT_UP_1,2021-12-17 22:25:19,True,12,21-12-17
1490,9436775678,25734,C209,R,OP_PRESS_MOVEMENT_UP_1,2021-12-17 22:25:19,True,12,21-12-17
1494,9436775661,25734,C209,L,OP_PRESS_STOP_PAUSE_2,2021-12-17 22:25:23,True,12,21-12-17
1495,9436775678,25734,C209,R,OP_PRESS_STOP_PAUSE_2,2021-12-17 22:25:23,True,12,21-12-17
1496,9436775661,25734,C209,L,OP_PRESS_MOVEMENT_UP_2,2021-12-17 22:25:26,True,12,21-12-17
1497,9436775678,25734,C209,R,OP_PRESS_MOVEMENT_UP_2,2021-12-17 22:25:26,True,12,21-12-17
1502,9436775661,25734,C209,L,OP_PRESS_STOP_PAUSE_3,2021-12-17 22:25:29,True,12,21-12-17
1503,9436775678,25734,C209,R,OP_PRESS_STOP_PAUSE_3,2021-12-17 22:25:29,True,12,21-12-17
1508,9436775661,25734,C209,L,OP_PRESS_MOVEMENT_UP_3,2021-12-17 22:25:32,True,12,21-12-17
1509,9436775678,25734,C209,R,OP_PRESS_MOVEMENT_UP_3,2021-12-17 22:25:33,True,12,21-12-17
1518,9436775661,25734,C209,L,UN_LMR_UP,2021-12-17 22:25:38,True,12,21-12-17
1521,9436775678,25734,C209,R,UN_LMR_UP,2021-12-17 22:25:40,True,12,21-12-17
1524,9436775661,25734,C209,L,UN_FORK_IN,2021-12-17 22:25:41,True,12,21-12-17
1525,9436775678,25734,C209,R,UN_FORK_IN,2021-12-17 22:25:42,True,12,21-12-17
1528,9436775661,25734,C209,L,OP_PRESS_LOCKED,2021-12-17 22:25:44,True,12,21-12-17
1531,9436775678,25734,C209,R,OP_PRESS_LOCKED,2021-12-17 22:25:45,True,12,21-12-17
1534,9436775661,25734,C209,L,UN_VACUUM,2021-12-17 22:25:50,True,12,21-12-17
1535,9436775678,25734,C209,R,UN_VACUUM,2021-12-17 22:25:50,True,12,21-12-17
1555,9436775678,25734,C209,R,UN_TCR_UP_LMR_DOWN,2021-12-17 22:25:59,True,12,21-12-17
1557,9436775661,25734,C209,L,UN_TCR_UP_LMR_DOWN,2021-12-17 22:26:00,True,12,21-12-17
1566,9436775678,25734,C209,R,UN_TCR_DOWN,2021-12-17 22:26:08,True,12,21-12-17
1567,9436775661,25734,C209,L,UN_TCR_DOWN,2021-12-17 22:26:09,True,12,21-12-17
1568,9436775678,25734,C209,R,UN_FORK_OUT,2021-12-17 22:26:09,True,12,21-12-17
1571,9436775661,25734,C209,L,UN_FORK_OUT,2021-12-17 22:26:10,True,12,21-12-17
1582,9436775659,25734,C209,L,LO_LOADER_IN_PRESS,2021-12-17 22:26:13,True,12,21-12-17
1583,9436775667,25734,C209,R,LO_LOADER_IN_PRESS,2021-12-17 22:26:13,True,12,21-12-17
1588,9436775659,25734,C209,L,LO_BLADDER_PRESHAPING,2021-12-17 22:26:17,True,12,21-12-17
1589,9436775667,25734,C209,R,LO_BLADDER_PRESHAPING,2021-12-17 22:26:17,True,12,21-12-17
1602,9436775659,25734,C209,L,LO_BLADDER_VACUUM,2021-12-17 22:26:24,True,12,21-12-17
1603,9436775667,25734,C209,R,LO_BLADDER_VACUUM,2021-12-17 22:26:24,True,12,21-12-17
1606,9436775659,25734,C209,L,LO_LOADER_DOWN,2021-12-17 22:26:27,True,12,21-12-17
1607,9436775667,25734,C209,R,LO_LOADER_DOWN,2021-12-17 22:26:27,True,12,21-12-17
1623,9436775659,25734,C209,L,LO_TCR_DOWN,2021-12-17 22:26:37,True,12,21-12-17
1624,9436775667,25734,C209,R,LO_TCR_DOWN,2021-12-17 22:26:37,True,12,21-12-17
1642,9436775659,25734,C209,L,LO_PRESHAPING,2021-12-17 22:26:43,True,12,21-12-17
1643,9436775667,25734,C209,R,LO_PRESHAPING,2021-12-17 22:26:43,True,12,21-12-17
1676,9436775659,25734,C209,L,LO_LOADER_RELEASE_TIRE,2021-12-17 22:27:07,True,12,21-12-17
1677,9436775667,25734,C209,R,LO_LOADER_RELEASE_TIRE,2021-12-17 22:27:07,True,12,21-12-17
1678,9436775659,25734,C209,L,LO_LOADER_UP,2021-12-17 22:27:08,True,12,21-12-17
1679,9436775667,25734,C209,R,LO_LOADER_UP,2021-12-17 22:27:08,True,12,21-12-17
1692,9436775659,25734,C209,L,LO_LOADER_OUT,2021-12-17 22:27:12,True,12,21-12-17
1693,9436775667,25734,C209,R,LO_LOADER_OUT,2021-12-17 22:27:12,True,12,21-12-17
1701,9436775659,25734,C209,L,CL_UNLOCK_PRESS,2021-12-17 22:27:14,True,12,21-12-17
1702,9436775667,25734,C209,R,CL_UNLOCK_PRESS,2021-12-17 22:27:14,True,12,21-12-17
