y-m-day-hour_6_rounded,n_barcode,n_barcode_L,n_barcode_R,cumulative_per_day_n_barcode,cumulative_per_day_n_barcode_L,cumulative_per_day_n_barcode_R,work_time,work_time_L,work_time_R,CYCLE_ABORTED,CYCLE_COMPLETED,CYCLE_NOT_STARTED,CYCLE_ABORTED_L,CYCLE_COMPLETED_L,CYCLE_NOT_STARTED_L,CYCLE_ABORTED_R,CYCLE_COMPLETED_R,CYCLE_NOT_STARTED_R,cumulative_per_day_CYCLE_COMPLETED,cumulative_per_day_CYCLE_ABORTED,cumulative_per_day_CYCLE_NOT_STARTED,cumulative_per_day_CYCLE_COMPLETED_L,cumulative_per_day_CYCLE_ABORTED_L,cumulative_per_day_CYCLE_NOT_STARTED_L,cumulative_per_day_CYCLE_COMPLETED_R,cumulative_per_day_CYCLE_ABORTED_R,cumulative_per_day_CYCLE_NOT_STARTED_R
2010-10-22 00:00:00,19,12.0,7.0,19,12.0,7.0,20105.0,20105.0,13028.0,4,13,2,3.0,8.0,1.0,1.0,5.0,1.0,13,4,2,8.0,3.0,1.0,5.0,1.0,1.0
2010-10-22 06:00:00,25,20.0,5.0,44,32.0,12.0,21474.0,21474.0,5458.0,3,21,1,2.0,17.0,1.0,1.0,4.0,0.0,34,7,3,25.0,5.0,2.0,9.0,2.0,1.0
2010-10-22 12:00:00,42,21.0,21.0,86,53.0,33.0,20173.0,20173.0,20173.0,4,37,1,2.0,18.0,1.0,2.0,19.0,0.0,71,11,4,43.0,7.0,3.0,28.0,4.0,1.0
2010-10-22 18:00:00,36,18.0,18.0,122,71.0,51.0,20907.0,20907.0,20907.0,5,31,0,3.0,15.0,0.0,2.0,16.0,0.0,102,16,4,58.0,10.0,3.0,44.0,6.0,1.0
2010-11-22 00:00:00,18,16.0,2.0,18,16.0,2.0,20777.0,20777.0,10347.0,6,9,3,4.0,9.0,3.0,2.0,0.0,0.0,9,6,3,9.0,4.0,3.0,0.0,2.0,0.0
2010-11-22 06:00:00,26,19.0,7.0,44,35.0,9.0,20062.0,20062.0,8791.0,5,21,0,5.0,14.0,0.0,0.0,7.0,0.0,30,11,3,23.0,9.0,3.0,7.0,2.0,0.0
2010-11-22 12:00:00,24,18.0,6.0,68,53.0,15.0,20864.0,20864.0,20456.0,7,16,1,6.0,11.0,1.0,1.0,5.0,0.0,46,18,4,34.0,15.0,4.0,12.0,3.0,0.0
2010-11-22 18:00:00,42,21.0,21.0,110,74.0,36.0,20578.0,20578.0,20578.0,3,39,0,1.0,20.0,0.0,2.0,19.0,0.0,85,21,4,54.0,16.0,4.0,31.0,5.0,0.0
2010-12-22 00:00:00,32,13.0,19.0,32,13.0,19.0,21317.0,16232.0,21317.0,3,27,2,1.0,11.0,1.0,2.0,16.0,1.0,27,3,2,11.0,1.0,1.0,16.0,2.0,1.0
2010-12-22 06:00:00,21,8.0,13.0,53,21.0,32.0,18673.0,11353.0,18673.0,1,20,0,1.0,7.0,0.0,0.0,13.0,0.0,47,4,2,18.0,2.0,1.0,29.0,2.0,1.0
2010-12-22 18:00:00,12,6.0,6.0,65,27.0,38.0,7157.0,7157.0,7155.0,1,11,0,1.0,5.0,0.0,0.0,6.0,0.0,58,5,2,23.0,3.0,1.0,35.0,2.0,1.0
2011-10-22 00:00:00,44,22.0,22.0,44,22.0,22.0,21014.0,21014.0,21014.0,5,37,2,4.0,17.0,1.0,1.0,20.0,1.0,37,5,2,17.0,4.0,1.0,20.0,1.0,1.0
2011-10-22 06:00:00,40,20.0,20.0,84,42.0,42.0,20184.0,20184.0,20184.0,5,35,0,3.0,17.0,0.0,2.0,18.0,0.0,72,10,2,34.0,7.0,1.0,38.0,3.0,1.0
2011-10-22 12:00:00,42,21.0,21.0,126,63.0,63.0,21388.0,21387.0,21388.0,4,37,1,3.0,17.0,1.0,1.0,20.0,0.0,109,14,3,51.0,10.0,2.0,58.0,4.0,1.0
2011-10-22 18:00:00,42,21.0,21.0,168,84.0,84.0,20747.0,20747.0,20747.0,8,33,1,7.0,13.0,1.0,1.0,20.0,0.0,142,22,4,64.0,17.0,3.0,78.0,5.0,1.0
2011-11-22 00:00:00,35,18.0,17.0,35,18.0,17.0,20628.0,20628.0,20628.0,9,25,1,5.0,12.0,1.0,4.0,13.0,0.0,25,9,1,12.0,5.0,1.0,13.0,4.0,0.0
2011-11-22 06:00:00,37,18.0,19.0,72,36.0,36.0,20705.0,20705.0,20705.0,3,34,0,2.0,16.0,0.0,1.0,18.0,0.0,59,12,1,28.0,7.0,1.0,31.0,5.0,0.0
2011-11-22 12:00:00,46,23.0,23.0,118,59.0,59.0,21396.0,21396.0,21396.0,3,43,0,2.0,21.0,0.0,1.0,22.0,0.0,102,15,1,49.0,9.0,1.0,53.0,6.0,0.0
2011-11-22 18:00:00,40,20.0,20.0,158,79.0,79.0,20766.0,20766.0,20766.0,7,33,0,6.0,14.0,0.0,1.0,19.0,0.0,135,22,1,63.0,15.0,1.0,72.0,7.0,0.0
2012-10-22 00:00:00,41,20.0,21.0,41,20.0,21.0,21138.0,21138.0,21138.0,6,34,1,4.0,16.0,0.0,2.0,18.0,1.0,34,6,1,16.0,4.0,0.0,18.0,2.0,1.0
2012-10-22 06:00:00,42,21.0,21.0,83,41.0,42.0,20724.0,20724.0,20724.0,9,33,0,8.0,13.0,0.0,1.0,20.0,0.0,67,15,1,29.0,12.0,0.0,38.0,3.0,1.0
2012-10-22 12:00:00,38,19.0,19.0,121,60.0,61.0,20529.0,20529.0,20529.0,8,29,1,6.0,12.0,1.0,2.0,17.0,0.0,96,23,2,41.0,18.0,1.0,55.0,5.0,1.0
2012-10-22 18:00:00,42,21.0,21.0,163,81.0,82.0,20651.0,20651.0,20651.0,6,35,1,4.0,16.0,1.0,2.0,19.0,0.0,131,29,3,57.0,22.0,2.0,74.0,7.0,1.0
2012-11-22 00:00:00,47,22.0,25.0,47,22.0,25.0,21189.0,21189.0,21189.0,4,40,3,3.0,19.0,0.0,1.0,21.0,3.0,40,4,3,19.0,3.0,0.0,21.0,1.0,3.0
2012-11-22 06:00:00,28,14.0,14.0,75,36.0,39.0,13620.0,13620.0,13619.0,1,27,0,1.0,13.0,0.0,0.0,14.0,0.0,67,5,3,32.0,4.0,0.0,35.0,1.0,3.0
2012-11-22 12:00:00,38,19.0,19.0,113,55.0,58.0,19850.0,19850.0,19850.0,4,34,0,3.0,16.0,0.0,1.0,18.0,0.0,101,9,3,48.0,7.0,0.0,53.0,2.0,3.0
2012-11-22 18:00:00,38,19.0,19.0,151,74.0,77.0,20800.0,20800.0,20800.0,4,34,0,3.0,16.0,0.0,1.0,18.0,0.0,135,13,3,64.0,10.0,0.0,71.0,3.0,3.0
2013-10-22 00:00:00,42,21.0,21.0,42,21.0,21.0,20684.0,20684.0,20684.0,5,36,1,2.0,18.0,1.0,3.0,18.0,0.0,36,5,1,18.0,2.0,1.0,18.0,3.0,0.0
2013-10-22 06:00:00,42,21.0,21.0,84,42.0,42.0,20748.0,20748.0,20748.0,7,35,0,6.0,15.0,0.0,1.0,20.0,0.0,71,12,1,33.0,8.0,1.0,38.0,4.0,0.0
2013-10-22 12:00:00,42,21.0,21.0,126,63.0,63.0,20812.0,20812.0,20812.0,7,35,0,5.0,16.0,0.0,2.0,19.0,0.0,106,19,1,49.0,13.0,1.0,57.0,6.0,0.0
2013-10-22 18:00:00,24,12.0,12.0,150,75.0,75.0,15103.0,15102.0,15103.0,1,23,0,1.0,11.0,0.0,0.0,12.0,0.0,129,20,1,60.0,14.0,1.0,69.0,6.0,0.0
2013-11-22 00:00:00,41,20.0,21.0,41,20.0,21.0,20165.0,18974.0,20165.0,8,31,2,4.0,15.0,1.0,4.0,16.0,1.0,31,8,2,15.0,4.0,1.0,16.0,4.0,1.0
