Unnamed: 0,ddc_barcode,ddc_ipcode,ddc_mch_code,ddc_mch_side,ddc_ev_subcode,ddc_ev_timestamp,c_machine,month,y-m-day
288919,9439934758,24281,C102,L,CURING_ON_STOP,2022-11-18 11:21:05,True,11,22-11-18
288920,9439934758,24281,C102,L,CURING_OFF_START,2022-11-18 11:21:05,True,11,22-11-18
288937,9439934758,24281,C102,L,OP_SQUEEZE_OFF_START,2022-11-18 11:21:07,True,11,22-11-18
288938,9439934758,24281,C102,L,CURING_OFF_STOP,2022-11-18 11:21:07,True,11,22-11-18
289018,9439934758,24281,C102,L,OP_SQUEEZE_OFF_STOP,2022-11-18 11:21:18,True,11,22-11-18
289019,9439934758,24281,C102,L,OP_UNLOCK_PRESS_START,2022-11-18 11:21:18,True,11,22-11-18
289028,9439934758,24281,C102,L,OP_UNLOCK_PRESS_STOP,2022-11-18 11:21:19,True,11,22-11-18
289029,9439934758,24281,C102,L,OP_PRESS_MOVEMENT_UP_START,2022-11-18 11:21:19,True,11,22-11-18
289043,9439934758,24281,C102,L,OP_PRESS_MOVEMENT_UP_STOP,2022-11-18 11:21:21,True,11,22-11-18
289044,9439934758,24281,C102,L,OP_PRESS_STOP_PAUSE_1_START,2022-11-18 11:21:21,True,11,22-11-18
289078,9439934758,24281,C102,L,OP_PRESS_STOP_PAUSE_1_STOP,2022-11-18 11:21:26,True,11,22-11-18
289079,9439934758,24281,C102,L,OP_PRESS_MOVEMENT_UP_1_START,2022-11-18 11:21:26,True,11,22-11-18
289115,9439934758,24281,C102,L,OP_PRESS_MOVEMENT_UP_1_STOP,2022-11-18 11:21:31,True,11,22-11-18
289116,9439934758,24281,C102,L,OP_PRESS_STOP_PAUSE_2_START,2022-11-18 11:21:31,True,11,22-11-18
289145,9439934758,24281,C102,L,OP_PRESS_STOP_PAUSE_2_STOP,2022-11-18 11:21:36,True,11,22-11-18
289146,9439934758,24281,C102,L,OP_PRESS_MOVEMENT_UP_2_START,2022-11-18 11:21:36,True,11,22-11-18
289184,9439934758,24281,C102,L,UN_LMR_UP_START,2022-11-18 11:21:42,True,11,22-11-18
