,Unnamed: 0,ddc_barcode,ddc_ipcode,ddc_mch_code,ddc_mch_side,ddc_ev_subcode,ddc_ev_timestamp,c_machine,month,y-m-day,event_time,time:_cluster_label
29,298806,9439844638,39351,C102,R,OP_SQUEEZE_OFF_START,2022-11-18 11:46:33,True,11,22-11-18,0.0,0
30,298807,9439844638,39351,C102,R,CURING_ON_STOP,2022-11-18 11:46:33,True,11,22-11-18,0.0,0
31,298808,9439844638,39351,C102,R,CURING_OFF_STOP,2022-11-18 11:46:33,True,11,22-11-18,0.0,0
32,298809,9439844638,39351,C102,R,CURING_OFF_START,2022-11-18 11:46:33,True,11,22-11-18,0.0,0
33,298872,9439844638,39351,C102,R,OP_SQUEEZE_OFF_STOP,2022-11-18 11:46:44,True,11,22-11-18,11.0,0
34,298873,9439844638,39351,C102,R,OP_UNLOCK_PRESS_START,2022-11-18 11:46:44,True,11,22-11-18,0.0,0
35,298878,9439844638,39351,C102,R,OP_UNLOCK_PRESS_STOP,2022-11-18 11:46:46,True,11,22-11-18,2.0,0
36,298879,9439844638,39351,C102,R,OP_PRESS_MOVEMENT_UP_START,2022-11-18 11:46:46,True,11,22-11-18,0.0,0
37,298906,9439844638,39351,C102,R,OP_PRESS_MOVEMENT_UP_STOP,2022-11-18 11:46:50,True,11,22-11-18,4.0,0
38,298907,9439844638,39351,C102,R,OP_PRESS_STOP_PAUSE_1_START,2022-11-18 11:46:50,True,11,22-11-18,0.0,0
39,298945,9439844638,39351,C102,R,OP_PRESS_STOP_PAUSE_1_STOP,2022-11-18 11:46:55,True,11,22-11-18,5.0,0
40,298946,9439844638,39351,C102,R,OP_PRESS_MOVEMENT_UP_1_START,2022-11-18 11:46:55,True,11,22-11-18,0.0,0
41,298987,9439844638,39351,C102,R,UN_LMR_UP_START,2022-11-18 11:47:01,True,11,22-11-18,6.0,0
42,299025,9439844638,39351,C102,R,UN_LMR_UP_STOP,2022-11-18 11:47:04,True,11,22-11-18,3.0,0
43,299026,9439844638,39351,C102,R,UN_FORK_IN_START,2022-11-18 11:47:04,True,11,22-11-18,0.0,0
44,299036,9439844638,39351,C102,R,UN_FORK_IN_STOP,2022-11-18 11:47:06,True,11,22-11-18,2.0,0
45,299044,9439844638,39351,C102,R,OP_PRESS_MOVEMENT_UP_3_STOP,2022-11-18 11:47:07,True,11,22-11-18,1.0,0
46,299045,9439844638,39351,C102,R,OP_PRESS_LOCKED_STOP,2022-11-18 11:47:07,True,11,22-11-18,0.0,0
47,299046,9439844638,39351,C102,R,OP_PRESS_LOCKED_START,2022-11-18 11:47:07,True,11,22-11-18,0.0,0
48,299053,9439844638,39351,C102,R,UN_VACUUM_START,2022-11-18 11:47:10,True,11,22-11-18,3.0,0
49,299120,9439844638,39351,C102,R,UN_VACUUM_STOP,2022-11-18 11:47:22,True,11,22-11-18,12.0,0
50,299121,9439844638,39351,C102,R,UN_TCR_UP_LMR_DOWN_STOP,2022-11-18 11:47:22,True,11,22-11-18,0.0,0
51,299122,9439844638,39351,C102,R,UN_TCR_UP_LMR_DOWN_START,2022-11-18 11:47:22,True,11,22-11-18,0.0,0
52,299181,9439844638,39351,C102,R,UN_TCR_DOWN_START,2022-11-18 11:47:31,True,11,22-11-18,9.0,0
53,299187,9439844638,39351,C102,R,UN_TCR_DOWN_STOP,2022-11-18 11:47:33,True,11,22-11-18,2.0,0
56,272062,9440075172,39351,C102,R,LO_BLADDER_PRESHAPING_START,2022-11-24 09:48:07,True,11,22-11-24,3.0,0
57,272063,9440075172,39351,C102,R,LO_LOADER_IN_PRESS_STOP,2022-11-24 09:48:07,True,11,22-11-24,0.0,0
58,272129,9440075172,39351,C102,R,LO_BLADDER_VACUUM_START,2022-11-24 09:48:15,True,11,22-11-24,8.0,0
59,272130,9440075172,39351,C102,R,LO_BLADDER_PRESHAPING_STOP,2022-11-24 09:48:15,True,11,22-11-24,0.0,0
60,272389,9440075172,39351,C102,R,LO_LOADER_DOWN_START,2022-11-24 09:48:59,True,11,22-11-24,44.0,0
61,272390,9440075172,39351,C102,R,LO_BLADDER_VACUUM_STOP,2022-11-24 09:48:59,True,11,22-11-24,0.0,0
62,272431,9440075172,39351,C102,R,LO_TCR_DOWN_START,2022-11-24 09:49:05,True,11,22-11-24,6.0,0
63,272432,9440075172,39351,C102,R,LO_LOADER_DOWN_STOP,2022-11-24 09:49:05,True,11,22-11-24,0.0,0
64,272457,9440075172,39351,C102,R,LO_PRESHAPING_START,2022-11-24 09:49:08,True,11,22-11-24,3.0,0
65,272458,9440075172,39351,C102,R,LO_TCR_DOWN_STOP,2022-11-24 09:49:08,True,11,22-11-24,0.0,0
66,272814,9440075172,39351,C102,R,LO_LOADER_RELEASE_TIRE_START,2022-11-24 09:49:55,True,11,22-11-24,47.0,0
67,272815,9440075172,39351,C102,R,LO_LOADER_UP_START,2022-11-24 09:49:55,True,11,22-11-24,0.0,0
68,272816,9440075172,39351,C102,R,LO_LOADER_RELEASE_TIRE_STOP,2022-11-24 09:49:55,True,11,22-11-24,0.0,0
69,272817,9440075172,39351,C102,R,LO_PRESHAPING_STOP,2022-11-24 09:49:55,True,11,22-11-24,0.0,0
70,272845,9440075172,39351,C102,R,LO_LOADER_OUT_START,2022-11-24 09:50:00,True,11,22-11-24,5.0,0
71,272846,9440075172,39351,C102,R,LO_LOADER_UP_STOP,2022-11-24 09:50:00,True,11,22-11-24,0.0,0
72,272867,9440075172,39351,C102,R,CL_UNLOCK_PRESS_START,2022-11-24 09:50:03,True,11,22-11-24,3.0,0
73,272868,9440075172,39351,C102,R,LO_LOADER_OUT_STOP,2022-11-24 09:50:03,True,11,22-11-24,0.0,0
74,272882,9440075172,39351,C102,R,CL_UNLOCK_PRESS_STOP,2022-11-24 09:50:05,True,11,22-11-24,2.0,0
75,272889,9440075172,39351,C102,R,CL_PRESS_DOWN_START,2022-11-24 09:50:07,True,11,22-11-24,2.0,0
76,272913,9440075172,39351,C102,R,CL_PRESS_DOWN_2_START,2022-11-24 09:50:11,True,11,22-11-24,4.0,0
77,272914,9440075172,39351,C102,R,CL_STOP_PAUSE_START,2022-11-24 09:50:11,True,11,22-11-24,0.0,0
78,272915,9440075172,39351,C102,R,CL_STOP_PAUSE_2_START,2022-11-24 09:50:11,True,11,22-11-24,0.0,0
79,272916,9440075172,39351,C102,R,CL_PRESS_DOWN_STOP,2022-11-24 09:50:11,True,11,22-11-24,0.0,0
80,272917,9440075172,39351,C102,R,CL_PRESS_DOWN_2_STOP,2022-11-24 09:50:11,True,11,22-11-24,0.0,0
81,272918,9440075172,39351,C102,R,CL_STOP_PAUSE_STOP,2022-11-24 09:50:11,True,11,22-11-24,0.0,0
82,273017,9440075172,39351,C102,R,CL_PRESS_DOWN_3_START,2022-11-24 09:50:26,True,11,22-11-24,15.0,0
83,273018,9440075172,39351,C102,R,CL_STOP_PAUSE_2_STOP,2022-11-24 09:50:26,True,11,22-11-24,0.0,0
84,273081,9440075172,39351,C102,R,CL_PRESS_LOCK_START,2022-11-24 09:50:37,True,11,22-11-24,11.0,0
85,273082,9440075172,39351,C102,R,CL_PRESS_DOWN_3_STOP,2022-11-24 09:50:37,True,11,22-11-24,0.0,0
86,273087,9440075172,39351,C102,R,CL_SQUEEZE_ON_START,2022-11-24 09:50:38,True,11,22-11-24,1.0,0
87,273088,9440075172,39351,C102,R,CL_PRESS_LOCK_STOP,2022-11-24 09:50:38,True,11,22-11-24,0.0,0
88,273146,9440075172,39351,C102,R,CL_SQUEEZE_ON_STOP,2022-11-24 09:50:46,True,11,22-11-24,8.0,0
89,273147,9440075172,39351,C102,R,CURING_ON_START,2022-11-24 09:50:46,True,11,22-11-24,0.0,0
90,281366,9440075172,39351,C102,R,CURING_OFF_START,2022-11-24 10:08:14,True,11,22-11-24,1048.0,2
91,281367,9440075172,39351,C102,R,CURING_ON_STOP,2022-11-24 10:08:14,True,11,22-11-24,0.0,0
92,281382,9440075172,39351,C102,R,CURING_OFF_STOP,2022-11-24 10:08:16,True,11,22-11-24,2.0,0
93,281383,9440075172,39351,C102,R,OP_SQUEEZE_OFF_START,2022-11-24 10:08:16,True,11,22-11-24,0.0,0
94,281443,9440075172,39351,C102,R,OP_UNLOCK_PRESS_START,2022-11-24 10:08:26,True,11,22-11-24,10.0,0
95,281444,9440075172,39351,C102,R,OP_SQUEEZE_OFF_STOP,2022-11-24 10:08:26,True,11,22-11-24,0.0,0
96,281464,9440075172,39351,C102,R,OP_PRESS_MOVEMENT_UP_START,2022-11-24 10:08:28,True,11,22-11-24,2.0,0
97,281465,9440075172,39351,C102,R,OP_PRESS_STOP_PAUSE_1_START,2022-11-24 10:08:28,True,11,22-11-24,0.0,0
98,281466,9440075172,39351,C102,R,OP_PRESS_MOVEMENT_UP_STOP,2022-11-24 10:08:28,True,11,22-11-24,0.0,0
99,281467,9440075172,39351,C102,R,OP_UNLOCK_PRESS_STOP,2022-11-24 10:08:28,True,11,22-11-24,0.0,0
100,281505,9440075172,39351,C102,R,OP_PRESS_MOVEMENT_UP_1_START,2022-11-24 10:08:32,True,11,22-11-24,4.0,0
101,281506,9440075172,39351,C102,R,OP_PRESS_STOP_PAUSE_1_STOP,2022-11-24 10:08:32,True,11,22-11-24,0.0,0
102,281539,9440075172,39351,C102,R,OP_PRESS_STOP_PAUSE_2_START,2022-11-24 10:08:36,True,11,22-11-24,4.0,0
103,281540,9440075172,39351,C102,R,OP_PRESS_MOVEMENT_UP_1_STOP,2022-11-24 10:08:36,True,11,22-11-24,0.0,0
104,281568,9440075172,39351,C102,R,OP_PRESS_MOVEMENT_UP_2_START,2022-11-24 10:08:40,True,11,22-11-24,4.0,0
105,281569,9440075172,39351,C102,R,OP_PRESS_STOP_PAUSE_2_STOP,2022-11-24 10:08:40,True,11,22-11-24,0.0,0
106,281600,9440075172,39351,C102,R,OP_PRESS_STOP_PAUSE_3_START,2022-11-24 10:08:45,True,11,22-11-24,5.0,0
107,281601,9440075172,39351,C102,R,OP_PRESS_MOVEMENT_UP_2_STOP,2022-11-24 10:08:45,True,11,22-11-24,0.0,0
108,281620,9440075172,39351,C102,R,OP_PRESS_MOVEMENT_UP_3_START,2022-11-24 10:08:49,True,11,22-11-24,4.0,0
109,281621,9440075172,39351,C102,R,OP_PRESS_STOP_PAUSE_3_STOP,2022-11-24 10:08:49,True,11,22-11-24,0.0,0
110,281714,9440075172,39351,C102,R,UN_FORK_IN_START,2022-11-24 10:09:01,True,11,22-11-24,12.0,0
111,281715,9440075172,39351,C102,R,UN_LMR_UP_START,2022-11-24 10:09:01,True,11,22-11-24,0.0,0
112,281716,9440075172,39351,C102,R,UN_LMR_UP_STOP,2022-11-24 10:09:01,True,11,22-11-24,0.0,0
113,281726,9440075172,39351,C102,R,UN_FORK_IN_STOP,2022-11-24 10:09:03,True,11,22-11-24,2.0,0
114,281741,9440075172,39351,C102,R,OP_PRESS_LOCKED_START,2022-11-24 10:09:05,True,11,22-11-24,2.0,0
115,281742,9440075172,39351,C102,R,OP_PRESS_MOVEMENT_UP_3_STOP,2022-11-24 10:09:05,True,11,22-11-24,0.0,0
116,281745,9440075172,39351,C102,R,OP_PRESS_LOCKED_STOP,2022-11-24 10:09:06,True,11,22-11-24,1.0,0
117,281770,9440075172,39351,C102,R,UN_VACUUM_START,2022-11-24 10:09:08,True,11,22-11-24,2.0,0
118,281852,9440075172,39351,C102,R,UN_TCR_UP_LMR_DOWN_START,2022-11-24 10:09:18,True,11,22-11-24,10.0,0
119,281853,9440075172,39351,C102,R,UN_TCR_UP_LMR_DOWN_STOP,2022-11-24 10:09:18,True,11,22-11-24,0.0,0
120,281854,9440075172,39351,C102,R,UN_VACUUM_STOP,2022-11-24 10:09:18,True,11,22-11-24,0.0,0
121,286106,9440075183,39728,C102,R,LO_LOADER_IN_PRESS_START,2022-11-24 10:14:34,True,11,22-11-24,316.0,0
122,286144,9440075183,39728,C102,R,LO_LOADER_IN_PRESS_STOP,2022-11-24 10:14:37,True,11,22-11-24,3.0,0
123,286145,9440075183,39728,C102,R,LO_BLADDER_PRESHAPING_START,2022-11-24 10:14:37,True,11,22-11-24,0.0,0
124,286220,9440075183,39728,C102,R,LO_BLADDER_PRESHAPING_STOP,2022-11-24 10:14:45,True,11,22-11-24,8.0,0
125,286221,9440075183,39728,C102,R,LO_BLADDER_VACUUM_START,2022-11-24 10:14:45,True,11,22-11-24,0.0,0
126,286505,9440075183,39728,C102,R,LO_BLADDER_VACUUM_STOP,2022-11-24 10:15:17,True,11,22-11-24,32.0,0
127,286506,9440075183,39728,C102,R,LO_LOADER_DOWN_START,2022-11-24 10:15:17,True,11,22-11-24,0.0,0
128,286547,9440075183,39728,C102,R,LO_LOADER_DOWN_STOP,2022-11-24 10:15:23,True,11,22-11-24,6.0,0
129,286548,9440075183,39728,C102,R,LO_TCR_DOWN_START,2022-11-24 10:15:23,True,11,22-11-24,0.0,0
130,286584,9440075183,39728,C102,R,LO_TCR_DOWN_STOP,2022-11-24 10:15:26,True,11,22-11-24,3.0,0
131,286585,9440075183,39728,C102,R,LO_PRESHAPING_START,2022-11-24 10:15:26,True,11,22-11-24,0.0,0
132,286839,9440075183,39728,C102,R,LO_PRESHAPING_STOP,2022-11-24 10:15:59,True,11,22-11-24,33.0,0
133,286840,9440075183,39728,C102,R,LO_LOADER_RELEASE_TIRE_STOP,2022-11-24 10:15:59,True,11,22-11-24,0.0,0
134,286841,9440075183,39728,C102,R,LO_LOADER_UP_START,2022-11-24 10:15:59,True,11,22-11-24,0.0,0
135,286842,9440075183,39728,C102,R,LO_LOADER_RELEASE_TIRE_START,2022-11-24 10:15:59,True,11,22-11-24,0.0,0
136,286870,9440075183,39728,C102,R,LO_LOADER_UP_STOP,2022-11-24 10:16:04,True,11,22-11-24,5.0,0
137,286871,9440075183,39728,C102,R,LO_LOADER_OUT_START,2022-11-24 10:16:04,True,11,22-11-24,0.0,0
138,286894,9440075183,39728,C102,R,LO_LOADER_OUT_STOP,2022-11-24 10:16:07,True,11,22-11-24,3.0,0
139,286895,9440075183,39728,C102,R,CL_UNLOCK_PRESS_START,2022-11-24 10:16:07,True,11,22-11-24,0.0,0
140,286898,9440075183,39728,C102,R,CL_UNLOCK_PRESS_STOP,2022-11-24 10:16:08,True,11,22-11-24,1.0,0
141,286920,9440075183,39728,C102,R,CL_PRESS_DOWN_START,2022-11-24 10:16:10,True,11,22-11-24,2.0,0
142,286929,9440075183,39728,C102,R,CL_STOP_PAUSE_STOP,2022-11-24 10:16:14,True,11,22-11-24,4.0,0
143,286930,9440075183,39728,C102,R,CL_PRESS_DOWN_STOP,2022-11-24 10:16:14,True,11,22-11-24,0.0,0
144,286931,9440075183,39728,C102,R,CL_STOP_PAUSE_START,2022-11-24 10:16:14,True,11,22-11-24,0.0,0
